x,y,z,k
-2.797,-50.913,-17.064,591.0554
-2.797,-50.913,-16.462,591.0523
-2.797,-50.913,-15.860,591.0714
-2.797,-50.913,-15.259,591.1402
-2.797,-50.913,-14.657,591.1801
-2.797,-50.913,-14.055,591.2233
-2.797,-50.913,-13.454,591.2665
-2.797,-50.913,-12.852,591.3014
-2.797,-50.913,-12.250,591.3392
-2.797,-50.913,-11.649,591.3621
-2.797,-50.913,-11.047,591.3863
-2.797,-50.913,-10.445,591.4010
-2.797,-50.913,-9.844,591.4475
-2.797,-50.913,-9.242,591.4988
-2.797,-50.913,-8.640,591.5358
-2.797,-50.913,-8.039,591.5786
-2.797,-50.913,-7.437,591.6244
-2.797,-50.913,-6.835,591.6457
-2.797,-50.913,-6.234,591.6704
-2.797,-50.913,-5.632,591.7172
-2.797,-50.913,-5.030,591.7502
-2.797,-50.913,-4.429,591.7879
-2.797,-50.913,-3.827,591.8071
-2.797,-50.913,-3.225,591.8154
-2.797,-50.913,-2.624,591.8493
-2.797,-50.913,-2.022,591.8768
-2.797,-50.913,-1.421,591.8750
-2.797,-50.913,-0.819,591.8693
-2.797,-50.913,-0.217,591.8738
-2.797,-50.913,0.384,591.9020
-2.797,-50.913,0.986,591.9088
-2.797,-50.913,1.588,591.8410
-2.797,-50.913,2.189,591.7988
-2.797,-50.913,2.791,591.8102
-2.797,-50.913,3.393,591.7811
-2.797,-50.913,3.994,591.6913
-2.797,-50.913,4.596,591.6508
-2.797,-50.913,5.198,591.6358
-2.797,-50.913,5.799,591.6236
-2.797,-50.913,6.401,591.5647
-2.797,-50.913,7.003,591.4469
-2.797,-50.913,7.604,591.3727
-2.797,-50.913,8.206,591.3126
-2.797,-50.913,8.808,591.2891
-2.797,-50.913,9.409,591.2435
-2.797,-50.913,10.011,591.1195
-2.797,-50.913,10.613,591.0369
-2.797,-50.913,11.214,591.0004
-2.797,-50.913,11.816,590.9561
-2.797,-50.913,12.418,590.8850
-2.797,-50.913,13.019,590.8192
-2.797,-50.913,13.621,590.7683
-2.797,-50.913,14.223,590.7286
