x,y,z,k
-2.777,-56.239,-18.605,612.4002
-2.777,-56.239,-17.941,612.4318
-2.777,-56.239,-17.277,612.5273
-2.777,-56.239,-16.613,612.6177
-2.777,-56.239,-15.949,612.6881
-2.777,-56.239,-15.284,612.7647
-2.777,-56.239,-14.620,612.7898
-2.777,-56.239,-13.956,612.8621
-2.777,-56.239,-13.292,612.9506
-2.777,-56.239,-12.628,612.9979
-2.777,-56.239,-11.964,613.0585
-2.777,-56.239,-11.300,613.0850
-2.777,-56.239,-10.636,613.1126
-2.777,-56.239,-9.972,613.1796
-2.777,-56.239,-9.307,613.1724
-2.777,-56.239,-8.643,613.1181
-2.777,-56.239,-7.979,613.1477
-2.777,-56.239,-7.315,613.1595
-2.777,-56.239,-6.651,613.2078
-2.777,-56.239,-5.987,613.2128
-2.777,-56.239,-5.323,613.1324
-2.777,-56.239,-4.659,613.1211
-2.777,-56.239,-3.995,613.0704
-2.777,-56.239,-3.330,613.0289
-2.777,-56.239,-2.666,612.9599
-2.777,-56.239,-2.002,612.9454
-2.777,-56.239,-1.338,613.0031
-2.777,-56.239,-0.674,612.9645
-2.777,-56.239,-0.010,612.8380
-2.777,-56.239,0.654,612.7395
-2.777,-56.239,1.318,612.7297
-2.777,-56.239,1.982,612.6332
-2.777,-56.239,2.647,612.5506
-2.777,-56.239,3.311,612.4720
-2.777,-56.239,3.975,612.3258
-2.777,-56.239,4.639,612.2580
-2.777,-56.239,5.303,612.1754
-2.777,-56.239,5.967,612.0880
-2.777,-56.239,6.631,611.9855
-2.777,-56.239,7.295,611.8623
-2.777,-56.239,7.959,611.8036
-2.777,-56.239,8.624,611.7312
-2.777,-56.239,9.288,611.6519
-2.777,-56.239,9.952,611.5082
-2.777,-56.239,10.616,611.4195
-2.777,-56.239,11.280,611.4352
-2.777,-56.239,11.944,611.4268
-2.777,-56.239,12.608,611.3855
-2.777,-56.239,13.272,611.2779
-2.777,-56.239,13.936,611.2791
-2.777,-56.239,14.600,611.3795
-2.777,-56.239,15.265,611.4403
-2.777,-56.239,15.929,611.5168
-2.777,-56.239,16.593,611.5270
-2.777,-56.239,17.257,611.6096
-2.777,-56.239,17.921,611.8250
-2.777,-56.239,18.585,612.0496
-2.777,-56.239,19.249,612.1404
-2.777,-56.239,19.913,612.2469
-2.777,-56.239,20.577,612.4118
-2.777,-56.239,21.242,612.6212
-2.777,-56.239,21.906,612.8932
-2.777,-56.239,22.570,613.0488
-2.777,-56.239,23.234,613.2201
-2.777,-56.239,23.898,613.4173
-2.777,-56.239,24.562,613.6691
-2.777,-56.239,25.226,613.9930
-2.777,-56.239,25.890,614.2814
-2.777,-56.239,26.554,614.5427
-2.777,-56.239,27.219,614.8091
-2.777,-56.239,27.883,615.2085
-2.777,-56.239,28.547,615.4995
-2.777,-56.239,29.211,615.7253
-2.777,-56.239,29.875,616.0374
-2.777,-56.239,30.539,616.4238
-2.777,-56.239,31.203,616.8127
-2.777,-56.239,31.867,617.0909
-2.777,-56.239,32.531,617.3864
-2.777,-56.239,33.196,617.6606
-2.777,-56.239,33.860,617.8880
-2.777,-55.103,-18.605,609.2753
-2.777,-55.103,-17.941,609.3459
-2.777,-55.103,-17.277,609.4499
-2.777,-55.103,-16.613,609.5306
-2.777,-55.103,-15.949,609.5784
-2.777,-55.103,-15.284,609.6601
-2.777,-55.103,-14.620,609.7510
-2.777,-55.103,-13.956,609.8562
-2.777,-55.103,-13.292,609.9492
-2.777,-55.103,-12.628,610.0139
-2.777,-55.103,-11.964,610.1056
-2.777,-55.103,-11.300,610.2142
-2.777,-55.103,-10.636,610.3183
-2.777,-55.103,-9.972,610.4107
-2.777,-55.103,-9.307,610.4563
-2.777,-55.103,-8.643,610.4936
-2.777,-55.103,-7.979,610.6025
-2.777,-55.103,-7.315,610.7178
-2.777,-55.103,-6.651,610.8066
-2.777,-55.103,-5.987,610.8799
-2.777,-55.103,-5.323,610.9406
-2.777,-55.103,-4.659,611.0387
-2.777,-55.103,-3.995,611.1302
-2.777,-55.103,-3.330,611.1955
-2.777,-55.103,-2.666,611.2300
-2.777,-55.103,-2.002,611.2800
-2.777,-55.103,-1.338,611.3915
-2.777,-55.103,-0.674,611.4960
-2.777,-55.103,-0.010,611.5635
-2.777,-55.103,0.654,611.5768
-2.777,-55.103,1.318,611.5868
-2.777,-55.103,1.982,611.6125
-2.777,-55.103,2.647,611.6754
-2.777,-55.103,3.311,611.7139
-2.777,-55.103,3.975,611.6929
-2.777,-55.103,4.639,611.6883
-2.777,-55.103,5.303,611.7108
-2.777,-55.103,5.967,611.6938
-2.777,-55.103,6.631,611.6999
-2.777,-55.103,7.295,611.7142
-2.777,-55.103,7.959,611.7061
-2.777,-55.103,8.624,611.6944
